# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,DGF0001,DGF0005,DGF0006,DGF0008,DGF0011,DGF0012,DGF0013,DGF0018,DGF0022,DGF0023,DGF0027,DGF0028,DGF0032,DGF0034,DGF0036,DGF0037,DGF0040,DGF0042,DGF0045,DGF0048,DGF0050,DGF0052,DGF0058,DGF0059,DGF0062,DGF0063,DGF0064,DGF0065,DGF0070,DGF0075,DGF0076,DGF0082,DGF0085,DGF0088,DGF0092,DGF0102,DGF0103,DGF0104,DGF0110,DGF0112,DGF0113,DGF0116,DGF0117,DGF0119,DGF0120,DGF0128,DGF0132,DGF0134,DGF0137,DGF0138,DGF0143,DGF0148,DGF0150,DGF0153,DGF0155,DGF0156,DGF0157,DGF0160,DGF0163,DGF0170,DGF0171,DGF0172,DGF0173,DGF0177,DGF0179,DGF0181,DGF0190,DGF0191,DGF0194,DGF0196,DGF0198,DGF0199,DGF0201,DGF0205,DGF0214,DGF0217
a916ab77f71922b6f359a5327a0b4421,0,1519,0,3667,426,0,14,0,0,8188,75,8335,0,0,6,195,28647,0,0,331,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,947,0,0,17341,91,0,0,0,0,0,0,0,0,0,56,13593,0,0,10,0,42,17,2551,64,0,0,10,19,0,0,0,5885,0,2167,0,2946,0,0,0,0,0
0a6520298960dbb389564e5a8286e230,0,0,0,4179,0,35,0,0,336,306,0,0,0,0,127,0,0,0,1036,0,0,0,830,0,0,0,0,0,0,0,0,0,66,0,712,0,0,0,0,0,191,0,0,1940,0,0,61664,0,0,0,0,14,0,3020,3,0,0,0,0,0,0,36,237,0,0,378,0,13,118,10960,0,0,1097,0,510,2854
89d44a6ab08931f5d8725e0dc22e9345,0,44,26,0,0,249,0,32,540,0,0,0,0,33,58790,0,0,0,0,16,2287,140,0,723,0,4145,0,336,3669,1953,503,31,146,14,0,0,0,0,0,0,0,1386,1945,21,0,541,0,0,0,0,0,0,73,0,0,0,462,0,0,0,4,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0
a96c5bf32f00c1c3f350c3a8180484ef,0,0,16,0,0,0,0,0,0,0,1083,90,112,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,3163,0,0,0,0,0,0,165,0,63524,0,0,0,0,0,0,0,0,0,0,0,499,33
9aea1ea3918ed14a47b328853d8e81e8,0,907,0,536,1216,0,0,0,0,22,0,235,21,0,0,1270,2299,0,0,36,0,0,16,0,0,0,0,0,0,0,2,0,0,0,11,105,0,1179,471,35273,46,0,0,45,0,95,0,0,0,526,208,0,0,7,0,1607,18,0,765,12873,86,6013,2050,0,0,0,13,101,151,0,60,987,0,0,0,0
e16cc4a937036f53bc3159e12f9ccc92,0,0,0,0,0,0,0,86,238,0,0,0,0,0,21070,0,0,0,0,13,0,33260,0,0,0,28,0,31,0,0,0,0,31,0,0,0,0,0,0,30,0,10307,2712,11,0,0,0,0,0,0,0,78,0,0,0,0,54,0,0,0,0,0,0,0,208,750,4,0,0,10,0,0,0,0,0,0
9f9bc71de0e7601de0230d4de2408046,4000,124,46,1158,1422,0,288,0,14,262,27,476,57,3046,0,1285,1283,23,0,0,75,0,0,34,16461,640,0,0,20,0,0,0,0,0,0,321,100,4350,379,41,106,0,1451,35,596,0,2242,142,164,479,180,0,32,290,1436,357,51,259,173,10194,1897,574,2045,5321,23,0,0,0,211,2482,30,346,0,23,307,1185
de8d4047f4d6a9629dcffc8d728e8d1e,1362,253,0,3020,334,20,35,0,0,587,46,2579,15,10498,0,5489,156,0,97,0,0,0,0,0,2171,43,15,195,0,0,0,0,0,0,76,170,0,510,463,2493,200,0,1407,19,6823,492,134,47,1056,0,1067,0,89,163,5818,137,18,673,332,4389,734,5013,5785,19,0,0,109,108,130,1399,0,462,0,708,62,543
38b6c9d956c6f5266c03cbe07b4437de,0,0,0,306,0,0,0,1512,0,0,15,0,0,0,0,69,0,0,0,0,0,0,0,0,43024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,16234,0,0,0,0,2815,1426,0,0,2475,0,0,0,0,0,0,0,0,0,0
e390324d203368280652d78f2d32cebe,0,0,0,439,0,31,0,0,114,265,0,648,10,0,0,18225,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,62,0,0,754,10497,0,0,0,976,0,1496,0,0,2171,6067,0,0,0,4,0,114,25,166,0,0,149,9527,9359,0,0,14,585,1001,0,0,0,5709,0,22,0,0
